Item ID,Name,Description /Size in inches,Category,Material,Weight (grams),Unit Price,Quantity,Total Value,Added on Date,Image,Image Link,
34,"Halagaarati, 3 batti",6 inches,Pooja Items,Silver,50,4675,1,4675,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
35,"Halagaarati, 5 batti",4.5 inches,Pooja Items,Silver,40,3740,1,3740,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
36,"Aarati with Stand and handle, 16 batti",7 inches,Pooja Items,Silver,194,18139,1,18139,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
37,Thera arati,12 inches,Pooja Items,Silver,677,63299.5,1,63299.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
38,Dhoopa aarathi,4 inches,Pooja Items,Silver,40,3740,1,3740,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
39,Panchapatre,3 inches,Pooja Items,Silver,76,7106,1,7106,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
40,Panchapatre,2.5 inches,Pooja Items,Silver,65,6077.5,2,12155,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
41,Panchapatre,2 inches,Pooja Items,Silver,58.5,5469.75,2 - 1,#VALUE!,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))","1 removed  from stock - White metal, not silver"
42,Uddharane,Different sizes,Pooja Items,Silver,112,10472,7,73304,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
43,Thambige,4.75,Pooja Items,Silver,408,38148,1,38148,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
44,Thambige,4.75,Pooja Items,Silver,224,20944,1,20944,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
45,Thambige,4.25,Pooja Items,Silver,168,15708,1,15708,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
46,Gindi,4.5,Pooja Items,Silver,208,19448,1,19448,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
47,Gindi,4.5,Pooja Items,Silver,287,26834.5,1,26834.5,02/06/2024,,"20240707_114336.jpg=GETLINK_BY_POS(ROW(L2), COLUMN(L2))",
